Yearly Income,Education
>50K,HS-grad
>50K,Masters
>50K,Bachelors
>50K,Some-college
>50K,Bachelors
>50K,Masters
>50K,Doctorate
>50K,Bachelors
>50K,Bachelors
>50K,Prof-school
>50K,Bachelors
>50K,Some-college
>50K,Doctorate
>50K,HS-grad
>50K,Some-college
>50K,Bachelors
>50K,HS-grad
>50K,HS-grad
>50K,Doctorate
>50K,Bachelors
>50K,Doctorate
>50K,Some-college
>50K,Masters
>50K,Bachelors
>50K,HS-grad
>50K,Prof-school
>50K,HS-grad
>50K,Assoc-voc
>50K,Bachelors
>50K,Bachelors
>50K,Assoc-acdm
>50K,Masters
>50K,Some-college
>50K,Assoc-voc
>50K,Masters
>50K,Some-college
>50K,Bachelors
>50K,Some-college
>50K,7th-8th
>50K,Some-college
>50K,Doctorate
>50K,Masters
>50K,Masters
>50K,Bachelors
>50K,Bachelors
>50K,HS-grad
>50K,HS-grad
>50K,7th-8th
>50K,Bachelors
>50K,Prof-school
>50K,Bachelors
>50K,Masters
>50K,Bachelors
>50K,HS-grad
>50K,Assoc-acdm
>50K,Prof-school
>50K,HS-grad
>50K,Some-college
>50K,HS-grad
>50K,HS-grad
>50K,HS-grad
>50K,Some-college
>50K,Some-college
>50K,Some-college
>50K,Masters
>50K,Prof-school
>50K,Bachelors
>50K,HS-grad
>50K,HS-grad
>50K,Assoc-acdm
>50K,Some-college
>50K,Masters
>50K,Bachelors
>50K,Some-college
>50K,Assoc-voc
>50K,HS-grad
>50K,Bachelors
>50K,Bachelors
>50K,HS-grad
>50K,Assoc-voc
>50K,Masters
>50K,Bachelors
>50K,Bachelors
>50K,Assoc-voc
>50K,Some-college
>50K,HS-grad
>50K,Bachelors
>50K,Bachelors
>50K,Bachelors
>50K,Masters
>50K,Doctorate
>50K,12th
>50K,Bachelors
>50K,HS-grad
>50K,Assoc-acdm
>50K,Masters
>50K,Some-college
>50K,Some-college
>50K,HS-grad
>50K,HS-grad
>50K,Assoc-voc
>50K,Masters
>50K,Bachelors
>50K,Some-college
>50K,Bachelors
>50K,Some-college
>50K,Bachelors
>50K,Bachelors
>50K,HS-grad
>50K,Some-college
>50K,Some-college
>50K,Bachelors
>50K,Assoc-acdm
>50K,Prof-school
>50K,Assoc-voc
>50K,Bachelors
>50K,Some-college
>50K,Bachelors
>50K,Assoc-voc
>50K,Bachelors
>50K,HS-grad
>50K,10th
>50K,7th-8th
>50K,Bachelors
>50K,Prof-school
>50K,Masters
>50K,Prof-school
>50K,HS-grad
>50K,Some-college
>50K,Bachelors
>50K,Some-college
>50K,Bachelors
>50K,Bachelors
>50K,Doctorate
>50K,Some-college
>50K,Doctorate
>50K,Bachelors
>50K,Doctorate
>50K,HS-grad
>50K,12th
>50K,Assoc-acdm
>50K,HS-grad
>50K,Bachelors
>50K,HS-grad
>50K,Assoc-voc
>50K,HS-grad
>50K,Masters
>50K,Masters
>50K,Doctorate
>50K,Bachelors
>50K,Bachelors
>50K,HS-grad
>50K,Bachelors
>50K,Bachelors
>50K,Masters
>50K,Bachelors
>50K,HS-grad
>50K,Bachelors
>50K,HS-grad
>50K,HS-grad
>50K,HS-grad
>50K,Doctorate
>50K,Bachelors
>50K,Assoc-voc
>50K,Bachelors
>50K,Assoc-voc
>50K,Bachelors
>50K,Assoc-voc
>50K,HS-grad
>50K,Masters
>50K,Bachelors
>50K,HS-grad
>50K,Bachelors
>50K,Bachelors
>50K,Some-college
>50K,HS-grad
>50K,HS-grad
>50K,Some-college
>50K,Bachelors
>50K,Some-college
>50K,HS-grad
>50K,Bachelors
>50K,Masters
>50K,Doctorate
>50K,HS-grad
>50K,Bachelors
>50K,Some-college
>50K,Bachelors
>50K,Masters
>50K,Bachelors
>50K,Bachelors
>50K,HS-grad
>50K,Bachelors
>50K,Bachelors
>50K,Bachelors
>50K,Prof-school
>50K,Bachelors
>50K,Bachelors
>50K,HS-grad
>50K,Masters
>50K,11th
>50K,HS-grad
>50K,Prof-school
>50K,Bachelors
>50K,HS-grad
>50K,Bachelors
