Age,Workclass,Education,Marital Status,Occupation,Race,Sex,Hours/Week,Native Country,Yearly Income
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
31,Private,Masters,Never-married,Prof-specialty,White,Female,50,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,80,United-States,>50K
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,40,India,>50K
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,White,Female,45,United-States,>50K
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,40,United-States,>50K
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,60,Honduras,>50K
50,Federal-gov,Bachelors,Divorced,Exec-managerial,White,Male,55,United-States,>50K
43,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,40,United-States,>50K
42,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,>50K
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,40,United-States,>50K
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,White,Male,70,United-States,>50K
44,Private,HS-grad,Divorced,Craft-repair,White,Female,40,United-States,>50K
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K
43,Federal-gov,Doctorate,Never-married,Prof-specialty,White,Female,50,United-States,>50K
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K
37,Private,Some-college,Married-civ-spouse,Sales,White,Male,48,United-States,>50K
76,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Male,50,Canada,>50K
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Black,Male,40,United-States,>50K
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,>50K
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,40,Iran,>50K
49,Private,Some-college,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,40,United-States,>50K
45,Private,Assoc-voc,Never-married,Prof-specialty,White,Female,40,United-States,>50K
45,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
51,Private,Some-college,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
28,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,38,United-States,>50K
40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,40,Mexico,>50K
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,White,Male,42,United-States,>50K
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,1,United-States,>50K
40,Federal-gov,Masters,Never-married,Exec-managerial,White,Female,55,United-States,>50K
35,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K
36,Private,Bachelors,Married-civ-spouse,Other-service,Black,Male,36,United-States,>50K
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,Female,35,United-States,>50K
37,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
54,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,>50K
37,Private,Bachelors,Never-married,Exec-managerial,Black,Male,60,United-States,>50K
28,Private,Prof-school,Never-married,Prof-specialty,White,Male,55,United-States,>50K
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,50,Iran,>50K
38,Local-gov,Masters,Married-civ-spouse,Exec-managerial,White,Male,70,United-States,>50K
40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K
58,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,45,United-States,>50K
40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,White,Male,60,United-States,>50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,40,Cambodia,>50K
37,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,75,Thailand,>50K
64,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
33,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Female,40,United-States,>50K
61,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
44,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Female,48,United-States,>50K
42,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
57,Federal-gov,Masters,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K
48,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K
31,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,45,United-States,>50K
55,Private,HS-grad,Married-civ-spouse,Sales,White,Male,40,United-States,>50K
35,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K
41,Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,White,Male,54,United-States,>50K
34,Private,Masters,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,35,Taiwan,>50K
36,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Black,Female,40,United-States,>50K
43,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Female,50,United-States,>50K
38,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K
36,State-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K
38,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K
